Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,ASAS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D2,29/10/17,Heidenheim,Nurnberg,1,0,H,0,0,D,15,14,5,5,12,13,7,4,4,2,0,0
D2,30/10/17,Bochum,Fortuna Dusseldorf,0,0,D,0,0,D,9,15,5,3,22,11,3,6,2,2,1,0
D2,03/11/17,Kaiserslautern,Bochum,0,0,D,0,0,D,12,3,2,1,11,16,7,1,3,3,0,0
D2,03/11/17,Sandhausen,Duisburg,0,1,A,0,1,A,22,5,7,1,15,16,5,2,2,2,0,0
D2,04/11/17,Braunschweig,Darmstadt,2,2,D,1,1,D,16,7,5,3,13,13,8,3,2,2,0,0
D2,04/11/17,Regensburg,Greuther Furth,3,2,H,2,1,H,20,7,5,3,10,17,8,6,1,1,0,0
D2,04/11/17,Union Berlin,St Pauli,1,0,H,0,0,D,16,11,3,2,14,13,4,5,1,1,0,0
D2,05/11/17,Erzgebirge Aue,Bielefeld,1,1,D,1,0,H,10,19,6,7,10,15,2,10,2,4,0,0
D2,05/11/17,Fortuna Dusseldorf,Heidenheim,2,2,D,0,0,D,13,13,4,4,15,19,3,4,6,4,1,0
D2,05/11/17,Holstein Kiel,Dresden,3,0,H,1,0,H,19,10,9,6,14,13,5,3,1,1,0,0
D2,06/11/17,Nurnberg,Ingolstadt,1,2,A,1,1,D,10,16,4,6,9,13,2,3,0,0,0,0
D2,17/11/17,Bielefeld,Braunschweig,2,2,D,1,0,H,20,11,6,5,22,17,10,8,2,2,0,0
D2,17/11/17,Darmstadt,Sandhausen,1,2,A,0,1,A,5,5,1,3,20,14,5,3,6,2,0,0
D2,18/11/17,Bochum,Greuther Furth,1,1,D,1,1,D,8,12,3,3,14,24,5,3,1,4,0,0
D2,18/11/17,Heidenheim,Union Berlin,4,3,H,1,0,H,20,14,11,9,15,11,8,3,2,2,0,0
D2,18/11/17,Nurnberg,Holstein Kiel,2,2,D,0,0,D,18,10,6,4,12,17,4,6,1,2,0,0
D2,19/11/17,Duisburg,Erzgebirge Aue,3,0,H,0,0,D,18,8,9,2,15,14,5,4,1,3,0,0
D2,19/11/17,Ingolstadt,Fortuna Dusseldorf,1,0,H,1,0,H,16,10,5,3,21,13,5,7,5,3,0,0
D2,19/11/17,St Pauli,Regensburg,2,2,D,2,2,D,15,11,5,2,11,26,4,8,2,5,0,0
D2,20/11/17,Dresden,Kaiserslautern,1,2,A,1,0,H,16,8,6,4,10,13,3,3,1,1,0,0
D2,24/11/17,Sandhausen,Heidenheim,1,2,A,1,0,H,22,16,7,3,22,14,6,9,1,1,0,0
D2,24/11/17,Union Berlin,Darmstadt,3,3,D,1,0,H,11,9,6,7,17,18,5,2,2,4,0,0
D2,25/11/17,Braunschweig,Nurnberg,2,3,A,1,1,D,15,14,7,6,9,13,6,4,2,5,0,0
D2,25/11/17,Holstein Kiel,Ingolstadt,0,0,D,0,0,D,6,17,0,7,13,15,2,9,1,2,0,0
D2,25/11/17,Regensburg,Duisburg,4,0,H,3,0,H,13,10,6,5,17,11,3,2,2,2,0,0
D2,26/11/17,Erzgebirge Aue,Bochum,1,1,D,1,1,D,17,11,7,4,12,16,3,2,1,3,0,0
D2,26/11/17,Greuther Furth,St Pauli,4,0,H,2,0,H,18,9,8,4,12,15,3,3,2,5,0,1
D2,26/11/17,Kaiserslautern,Bielefeld,0,2,A,0,1,A,7,13,2,5,19,15,8,5,2,1,0,0
D2,27/11/17,Fortuna Dusseldorf,Dresden,1,3,A,1,3,A,9,13,4,6,14,15,2,2,2,1,0,0
D2,01/12/17,Bielefeld,St Pauli,5,0,H,1,0,H,15,11,7,2,12,11,4,1,1,1,0,0
D2,01/12/17,Heidenheim,Kaiserslautern,3,2,H,0,0,D,14,15,6,5,12,21,5,7,2,3,0,1
D2,02/12/17,Duisburg,Greuther Furth,2,0,H,2,0,H,9,19,6,5,11,10,5,1,2,3,0,0
D2,02/12/17,Holstein Kiel,Fortuna Dusseldorf,2,2,D,0,1,A,21,12,8,9,16,15,5,1,1,2,0,0
D2,02/12/17,Nurnberg,Sandhausen,1,0,H,0,0,D,22,11,9,2,17,16,7,1,2,3,0,0
D2,03/12/17,Bochum,Union Berlin,2,1,H,1,1,D,20,9,9,2,16,14,5,0,2,2,0,0
D2,03/12/17,Darmstadt,Regensburg,0,1,A,0,0,D,9,12,3,5,20,16,2,5,2,1,0,0
D2,03/12/17,Dresden,Erzgebirge Aue,4,0,H,2,0,H,12,7,8,1,11,9,9,3,2,2,0,0
D2,04/12/17,Ingolstadt,Braunschweig,0,2,A,0,0,D,28,7,3,3,12,13,7,2,2,4,0,0
D2,08/12/17,Braunschweig,Holstein Kiel,0,0,D,0,0,D,5,14,2,3,10,17,3,7,1,3,0,0
D2,08/12/17,Erzgebirge Aue,Darmstadt,1,0,H,1,0,H,15,13,5,3,19,15,8,5,0,4,0,0
D2,09/12/17,Greuther Furth,Heidenheim,1,0,H,1,0,H,15,12,8,4,14,13,5,8,3,3,0,0
D2,09/12/17,Regensburg,Bochum,0,1,A,0,1,A,23,8,5,5,13,18,8,0,1,3,0,0
D2,09/12/17,Union Berlin,Dresden,0,1,A,0,0,D,15,15,2,2,14,12,7,8,1,2,0,0
D2,10/12/17,Kaiserslautern,Ingolstadt,1,1,D,1,0,H,3,19,2,5,21,10,2,11,4,2,1,0
D2,10/12/17,Sandhausen,Bielefeld,3,1,H,1,0,H,10,17,6,6,19,21,7,6,1,2,0,0
D2,10/12/17,St Pauli,Duisburg,2,2,D,0,1,A,12,15,3,5,17,18,1,4,4,4,1,0
D2,11/12/17,Fortuna Dusseldorf,Nurnberg,0,2,A,0,0,D,14,17,4,7,14,22,5,5,1,5,0,0
D2,15/12/17,Braunschweig,Fortuna Dusseldorf,0,1,A,0,1,A,19,9,6,3,15,10,3,3,2,4,0,0
D2,15/12/17,Union Berlin,Ingolstadt,1,2,A,0,0,D,14,11,4,3,15,11,8,5,2,2,0,0
D2,16/12/17,Erzgebirge Aue,Heidenheim,1,1,D,1,0,H,7,16,1,3,6,16,2,8,1,4,0,0
D2,16/12/17,Kaiserslautern,Nurnberg,1,1,D,0,1,A,7,14,1,6,17,14,4,7,2,1,0,0
D2,16/12/17,Regensburg,Bielefeld,3,2,H,2,1,H,15,14,6,6,12,11,4,3,2,2,0,0
D2,17/12/17,Duisburg,Dresden,2,0,H,1,0,H,13,10,5,2,12,9,7,4,2,3,0,0
D2,17/12/17,Greuther Furth,Darmstadt,1,1,D,1,0,H,10,18,1,7,15,22,5,6,3,4,0,0
D2,17/12/17,Sandhausen,Holstein Kiel,3,1,H,0,0,D,11,16,5,5,19,21,5,13,4,5,1,1
D2,18/12/17,St Pauli,Bochum,2,1,H,1,0,H,11,15,7,4,11,11,6,9,2,4,0,1
D2,23/01/18,Bochum,Duisburg,0,2,A,0,2,A,13,14,4,6,15,12,7,2,2,1,0,0
D2,23/01/18,Holstein Kiel,Union Berlin,2,2,D,2,1,H,8,13,5,8,12,18,8,6,2,2,1,0
D2,23/01/18,Ingolstadt,Sandhausen,0,0,D,0,0,D,13,6,3,4,14,14,3,0,1,2,0,0
D2,23/01/18,Nurnberg,Regensburg,2,2,D,1,2,A,10,15,6,4,11,16,3,5,0,4,0,0
D2,24/01/18,Bielefeld,Greuther Furth,0,0,D,0,0,D,21,8,7,0,13,10,7,1,2,1,0,0
D2,24/01/18,Fortuna Dusseldorf,Erzgebirge Aue,2,1,H,1,0,H,17,9,6,4,13,18,5,4,2,2,0,0
D2,24/01/18,Heidenheim,Braunschweig,2,0,H,0,0,D,13,15,3,4,16,24,8,4,2,5,0,0
D2,25/01/18,Dresden,St Pauli,1,3,A,0,1,A,26,12,7,7,16,10,14,2,3,1,0,0
D2,26/01/18,Regensburg,Ingolstadt,3,2,H,0,2,A,14,11,5,5,15,22,5,2,3,2,0,0
D2,26/01/18,Union Berlin,Nurnberg,0,1,A,0,1,A,11,12,3,5,11,13,6,6,2,1,2,1
D2,27/01/18,Duisburg,Heidenheim,3,3,D,1,3,A,20,10,5,3,14,23,2,4,2,3,0,0
D2,27/01/18,Greuther Furth,Holstein Kiel,0,0,D,0,0,D,12,8,5,2,17,17,0,5,3,4,0,0
D2,27/01/18,Kaiserslautern,Fortuna Dusseldorf,1,3,A,0,0,D,8,23,2,9,21,15,2,7,4,1,1,0
D2,28/01/18,Erzgebirge Aue,Braunschweig,1,3,A,1,2,A,17,18,6,3,17,15,10,2,3,3,0,0
D2,28/01/18,Sandhausen,Dresden,1,0,H,0,0,D,14,6,3,2,11,21,3,2,2,5,0,1
D2,28/01/18,St Pauli,Darmstadt,0,1,A,0,1,A,14,7,8,2,11,17,6,4,1,2,0,0
D2,29/01/18,Bochum,Bielefeld,0,1,A,0,0,D,14,11,3,5,12,11,6,5,1,0,0,0
D2,02/02/18,Fortuna Dusseldorf,Sandhausen,1,0,H,1,0,H,7,10,2,4,15,21,3,7,2,1,0,0
