Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,ASAS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H
D1,2011-09-17,Leverkusen,FC Koln,1,4,A,0,1,A,15,8,7,4,15,13,5,0,1,4,1,0,1.4
D1,2011-09-17,Nurnberg,Werder Bremen,1,1,D,0,1,A,21,2,4,1,17,11,13,0,1,1,0,1,2.63
D1,2011-09-18,Hannover,Dortmund,2,1,H,0,0,D,14,13,5,7,13,8,7,3,1,0,1,0,4.2
D1,2011-09-18,Schalke 04,Bayern Munich,0,2,A,0,1,A,7,19,1,6,16,18,2,5,1,1,0,0,5.0
D1,2011-09-23,Stuttgart,Hamburg,1,2,A,1,0,H,17,16,5,8,20,16,3,7,1,1,0,0,1.57
D1,2011-09-24,M'gladbach,Nurnberg,1,0,H,0,0,D,21,7,9,1,13,18,9,4,1,1,0,0,2.1
D1,2011-09-24,Mainz,Dortmund,1,2,A,1,0,H,9,20,3,9,12,9,3,10,1,0,0,0,3.75
D1,2011-09-24,Bayern Munich,Leverkusen,3,0,H,2,0,H,12,4,4,3,10,13,4,1,1,4,0,0,1.33
D1,2011-09-24,Wolfsburg,Kaiserslautern,1,0,H,0,0,D,6,11,3,2,13,19,4,5,1,2,1,0,1.83
D1,2011-09-24,Schalke 04,Freiburg,4,2,H,1,1,D,16,14,7,10,19,17,7,1,1,1,0,0,1.36
D1,2011-09-24,Augsburg,Hannover,0,0,D,0,0,D,13,11,3,4,21,17,2,2,1,2,0,0,2.88
D1,2011-09-25,Werder Bremen,Hertha,2,1,H,1,1,D,23,8,6,3,22,17,8,3,2,4,0,2,1.83
D1,2011-09-25,FC Koln,Hoffenheim,2,0,H,1,0,H,9,16,4,2,12,18,4,6,1,2,0,0,3.0
D1,2011-09-30,Kaiserslautern,Stuttgart,0,2,A,0,0,D,22,11,3,5,16,16,9,4,2,1,0,0,2.88
D1,2011-10-09,Stuttgart,Hannover,3,0,H,1,0,H,17,9,7,5,8,13,9,4,0,1,0,0,1.85
D1,2011-10-09,Werder Bremen,Hamburg,2,0,H,0,0,D,22,8,5,3,13,15,11,6,3,5,0,0,1.6
D1,2011-10-09,Mainz,Hoffenheim,0,4,A,0,2,A,13,9,2,5,18,24,7,4,0,0,0,0,2.2
D1,2011-10-09,M'gladbach,Kaiserslautern,1,0,H,0,0,D,19,5,4,2,21,19,4,3,2,4,0,0,1.91
D1,2011-10-09,Dortmund,Hertha,1,2,A,0,0,D,25,11,6,6,13,7,4,1,1,3,0,0,1.4
D1,2011-10-09,Bayern Munich,Freiburg,7,0,H,3,0,H,25,3,12,1,8,8,12,0,0,0,0,0,1.17
D1,2011-10-12,Mainz,Hamburg,0,0,D,0,0,D,12,8,5,5,16,11,4,5,1,0,0,0,2.2
D1,2011-10-12,Hannover,Leverkusen,0,0,D,0,0,D,17,12,4,4,22,18,9,3,0,2,0,0,2.7
D1,2011-10-12,FC Koln,Freiburg,4,0,H,1,0,H,14,11,6,5,9,12,4,2,1,2,0,0,2.3
D1,2011-10-12,Augsburg,M'gladbach,1,0,H,0,0,D,11,13,5,5,22,22,5,4,3,2,0,0,4.0
D1,2011-10-12,Werder Bremen,Wolfsburg,4,1,H,2,0,H,20,17,11,6,17,19,2,7,1,3,0,0,1.62
D1,2011-10-12,Nurnberg,Hoffenheim,0,2,A,0,1,A,8,15,3,6,19,14,4,10,3,3,1,1,2.3
D1,2011-10-14,Werder Bremen,Dortmund,0,2,A,0,1,A,24,9,5,5,16,19,11,3,1,1,0,1,2.8
D1,2011-10-15,Mainz,Augsburg,0,1,A,0,0,D,18,10,5,6,19,18,9,4,3,2,0,0,1.67
D1,2011-10-15,Wolfsburg,Nurnberg,2,1,H,1,0,H,12,12,5,6,20,24,1,3,2,2,0,0,2.1
D1,2011-10-15,Stuttgart,Hoffenheim,2,0,H,0,0,D,14,15,7,5,22,26,3,3,3,1,0,0,2.0
D1,2011-10-15,Schalke 04,Kaiserslautern,1,2,A,0,1,A,14,14,4,6,14,21,4,5,3,3,1,1,1.44
D1,2011-10-15,M'gladbach,Leverkusen,2,2,D,0,1,A,23,7,8,4,6,20,4,3,2,4,0,1,2.6
D1,2011-10-15,Bayern Munich,Hertha,4,0,H,3,0,H,19,3,8,0,8,13,3,2,0,1,0,0,1.2
D1,2011-10-16,FC Koln,Hannover,2,0,H,1,0,H,10,12,3,6,22,17,1,5,3,4,0,0,2.4
D1,2011-10-16,Freiburg,Hamburg,1,2,A,0,1,A,18,11,6,4,16,22,7,2,1,3,0,0,2.5
D1,2011-10-21,Augsburg,Werder Bremen,1,1,D,0,0,D,10,22,3,7,16,11,4,7,3,2,0,0,3.8
D1,2011-10-22,Dortmund,FC Koln,5,0,H,3,0,H,24,2,9,1,13,10,2,3,2,2,0,0,1.29
D1,2011-10-22,Kaiserslautern,Freiburg,1,0,H,0,0,D,12,9,5,3,18,15,6,4,0,4,0,0,2.0
D1,2011-10-22,Hoffenheim,M'gladbach,1,0,H,0,0,D,14,7,5,1,18,15,8,2,1,3,0,0,2.0
D1,2011-10-22,Hertha,Mainz,0,0,D,0,0,D,8,13,1,3,10,21,3,3,1,3,0,0,1.95
D1,2011-10-22,Hamburg,Wolfsburg,1,1,D,0,1,A,19,8,7,4,23,24,8,4,2,1,0,0,2.15
D1,2011-10-22,Nurnberg,Stuttgart,2,2,D,1,0,H,17,13,7,2,14,14,4,4,1,2,0,0,2.5
D1,2011-10-23,Hannover,Bayern Munich,2,1,H,1,0,H,12,19,3,8,19,13,2,5,4,1,1,1,9.0
D1,2011-10-23,Leverkusen,Schalke 04,0,1,A,0,0,D,13,18,4,6,14,21,3,3,1,3,0,0,2.0
D1,2011-10-28,Freiburg,Leverkusen,0,1,A,0,1,A,21,11,8,3,21,13,6,2,1,0,0,0,3.3
D1,2011-10-29,Bayern Munich,Nurnberg,4,0,H,3,0,H,13,4,5,2,14,14,7,3,1,2,0,0,1.17
D1,2011-10-29,Mainz,Werder Bremen,1,3,A,1,1,D,16,13,6,5,23,20,10,0,2,4,0,0,2.7
D1,2011-10-29,M'gladbach,Hannover,2,1,H,1,1,D,18,14,8,2,14,16,5,5,0,3,0,0,2.0
D1,2011-10-29,Schalke 04,Hoffenheim,3,1,H,1,0,H,16,11,10,2,20,20,5,4,1,2,0,0,1.95
D1,2011-10-29,Stuttgart,Dortmund,1,1,D,1,1,D,12,15,6,6,18,13,6,7,3,2,0,0,3.3
D1,2011-10-29,Wolfsburg,Hertha,2,3,A,1,2,A,17,12,5,7,24,13,6,7,3,2,0,0,2.2
D1,2011-10-30,FC Koln,Augsburg,3,0,H,2,0,H,5,15,3,5,17,13,1,2,1,2,0,1,1.91
D1,2011-10-30,Hamburg,Kaiserslautern,1,1,D,0,1,A,16,11,5,5,18,23,4,3,2,2,1,0,1.91
D1,2011-11-09,Wolfsburg,Schalke 04,2,1,H,1,1,D,12,6,6,2,17,19,9,3,1,3,0,0,2.5
D1,2011-11-09,FC Koln,Nurnberg,1,2,A,1,2,A,10,13,2,5,24,18,2,5,3,1,1,1,2.6
D1,2011-11-12,Dortmund,Kaiserslautern,1,1,D,1,0,H,23,12,5,3,12,25,9,4,1,2,0,0,1.25
D1,2011-11-12,Stuttgart,Bayern Munich,1,2,A,1,1,D,6,18,2,5,16,10,3,6,3,4,1,0,6.25
D1,2011-11-18,Kaiserslautern,Leverkusen,0,2,A,0,0,D,13,14,3,8,12,16,8,2,1,1,0,0,2.88
D1,2011-11-19,Bayern Munich,Dortmund,0,1,A,0,0,D,16,8,3,2,15,25,3,3,2,1,0,0,1.62
D1,2011-11-19,Freiburg,Hertha,2,2,D,0,2,A,13,14,6,7,19,19,6,4,2,5,0,0,2.6
D1,2011-11-19,M'gladbach,Werder Bremen,5,0,H,3,0,H,16,10,9,2,11,10,6,4,0,0,0,1,2.5
D1,2011-11-19,Schalke 04,Nurnberg,4,0,H,2,0,H,11,14,7,4,13,16,4,8,2,3,0,0,1.75
D1,2011-11-19,Wolfsburg,Hannover,4,1,H,2,1,H,14,7,8,2,18,12,9,8,1,2,0,1,2.3
D1,2011-11-20,Stuttgart,Augsburg,2,1,H,1,0,H,11,15,5,6,24,18,5,4,2,3,0,0,1.4
D1,2011-11-20,Hamburg,Hoffenheim,2,0,H,1,0,H,18,19,7,8,17,15,6,3,0,3,0,0,2.3
D1,2011-11-25,FC Koln,M'gladbach,0,3,A,0,2,A,5,15,2,7,14,10,6,2,1,1,0,0,3.2
D1,2011-11-26,Augsburg,Wolfsburg,2,0,H,0,0,D,14,7,5,0,16,27,7,4,3,3,0,0,2.88
D1,2011-11-26,Dortmund,Schalke 04,2,0,H,1,0,H,16,3,8,1,24,24,3,2,1,4,0,0,1.65
D1,2011-11-26,Hertha,Leverkusen,3,3,D,2,1,H,10,18,6,8,18,14,1,5,1,2,0,0,2.88
D1,2011-11-26,Hoffenheim,Freiburg,1,1,D,1,0,H,15,14,3,7,19,18,4,1,2,3,0,0,1.62
D1,2011-11-26,Nurnberg,Kaiserslautern,1,0,H,1,0,H,13,6,6,1,21,25,6,1,4,1,0,0,2.0
D1,2011-11-26,Hannover,Hamburg,1,1,D,0,0,D,11,18,9,7,14,21,4,8,2,2,0,0,2.2
D1,2011-11-27,Werder Bremen,Stuttgart,2,0,H,0,0,D,14,14,6,5,19,21,4,5,1,4,0,0,2.1
D1,2011-11-27,Mainz,Bayern Munich,3,2,H,1,0,H,17,13,7,8,18,20,3,2,3,2,0,0,9.0
D1,2011-12-13,FC Koln,Mainz,1,1,D,0,0,D,12,12,3,2,11,27,4,7,2,4,0,0,2.5
D1,2011-12-16,Bayern Munich,FC Koln,3,0,H,0,0,D,17,4,5,1,15,17,10,3,0,4,1,0,1.13
D1,2011-12-17,Freiburg,Dortmund,1,4,A,1,2,A,14,11,3,5,14,11,3,3,1,1,0,0,5.5
D1,2011-12-17,Hamburg,Augsburg,1,1,D,0,0,D,23,11,12,6,11,18,8,0,1,0,0,0,1.57
D1,2011-12-17,Schalke 04,Werder Bremen,5,0,H,2,0,H,15,10,8,1,13,10,4,4,2,2,0,0,2.0
D1,2011-12-17,Hoffenheim,Hertha,1,1,D,1,0,H,16,9,5,1,19,9,5,4,4,1,1,1,1.91
D1,2011-12-17,Leverkusen,Nurnberg,0,3,A,0,2,A,13,11,6,4,17,16,6,3,0,1,0,0,1.5
D1,2011-12-17,Wolfsburg,Stuttgart,1,0,H,0,0,D,19,12,7,5,26,16,6,7,3,2,0,0,2.6
D1,2011-12-18,Kaiserslautern,Hannover,1,1,D,0,1,A,19,8,7,1,13,11,6,0,1,2,1,0,2.3
D1,2011-12-18,M'gladbach,Mainz,1,0,H,1,0,H,6,12,3,5,16,20,5,4,3,3,0,0,1.83
D1,2012-01-04,Hoffenheim,Schalke 04,1,1,D,1,0,H,15,19,5,7,23,16,5,4,2,4,0,0,3.0
D1,2012-01-04,Hannover,M'gladbach,2,1,H,0,0,D,12,14,3,6,8,9,5,6,0,1,0,0,2.7
D1,2012-01-09,Hoffenheim,Ein Frankfurt,0,4,A,0,2,A,7,17,3,5,16,17,2,5,1,2,2,0,2.05
D1,2012-01-09,Leverkusen,Freiburg,2,0,H,1,0,H,14,8,10,1,19,24,5,4,1,1,0,0,1.57
D1,2012-01-09,Nurnberg,Dortmund,1,1,D,1,1,D,6,18,3,6,12,17,4,11,2,2,0,0,6.0
D1,2012-01-09,Schalke 04,Augsburg,3,1,H,1,0,H,12,22,6,4,11,14,6,5,1,2,0,0,1.36
D1,2012-01-09,Werder Bremen,Hamburg,2,0,H,0,0,D,16,11,9,4,7,20,7,5,0,1,0,0,1.73
D1,2012-01-09,Fortuna Dusseldorf,M'gladbach,0,0,D,0,0,D,5,13,0,4,15,23,5,4,3,2,0,0,2.9
D1,2012-01-12,Bayern Munich,Dortmund,1,1,D,0,0,D,14,12,5,5,14,17,7,5,0,0,0,0,1.75
D1,2012-01-12,Greuther Furth,Stuttgart,0,1,A,0,1,A,17,10,5,7,19,14,10,2,5,4,0,1,3.0
D1,2012-01-12,Leverkusen,Nurnberg,1,0,H,1,0,H,22,8,8,2,17,17,7,3,2,2,0,0,1.5
D1,2012-01-12,Mainz,Hannover,2,1,H,1,1,D,13,14,3,3,13,17,4,6,2,3,1,0,2.0
D1,2012-01-12,Schalke 04,M'gladbach,1,1,D,0,0,D,22,5,6,1,17,12,8,1,1,3,0,0,1.44
D1,2012-01-12,Augsburg,Freiburg,1,1,D,1,1,D,14,10,4,3,20,16,2,2,3,4,0,0,2.5
D1,2012-01-20,M'gladbach,Bayern Munich,3,1,H,2,0,H,9,17,5,7,11,13,4,8,1,0,0,0,5.0
D1,2012-01-21,Kaiserslautern,Werder Bremen,0,0,D,0,0,D,19,14,5,6,22,16,4,2,2,3,0,0,2.8
D1,2012-01-21,Freiburg,Augsburg,1,0,H,0,0,D,15,4,6,1,13,25,5,2,1,3,0,0,2.05
D1,2012-01-21,Hoffenheim,Hannover,0,0,D,0,0,D,10,9,3,1,14,22,0,4,1,1,0,0,1.85
D1,2012-01-21,Nurnberg,Hertha,2,0,H,1,0,H,10,12,5,2,16,18,4,5,1,2,0,0,2.15
D1,2012-01-21,Schalke 04,Stuttgart,3,1,H,1,0,H,14,13,7,6,9,10,8,6,1,1,0,0,1.8
D1,2012-01-21,Wolfsburg,FC Koln,1,0,H,0,0,D,18,10,6,2,14,11,15,1,1,2,0,0,1.8
D1,2012-01-22,Hamburg,Dortmund,1,5,A,0,2,A,9,22,3,9,19,9,8,5,1,0,0,0,4.33
D1,2012-01-22,Leverkusen,Mainz,3,2,H,2,0,H,9,17,2,6,16,14,5,6,1,0,0,0,1.8
D1,2012-01-27,Hannover,Nurnberg,1,0,H,1,0,H,13,10,3,1,21,17,8,1,3,2,0,0,2.2
D1,2012-01-28,Dortmund,Hoffenheim,3,1,H,2,0,H,18,8,9,5,13,23,6,2,1,4,0,0,1.33
D1,2012-01-28,Werder Bremen,Leverkusen,1,1,D,1,0,H,16,13,4,7,18,16,4,6,3,2,0,0,2.2
D1,2012-01-28,Hertha,Hamburg,1,2,A,0,2,A,18,13,3,5,19,30,6,7,3,1,0,0,2.38
D1,2012-01-28,FC Koln,Schalke 04,1,4,A,1,0,H,8,14,3,5,12,22,4,1,1,2,1,0,4.0
D1,2012-01-28,Bayern Munich,Wolfsburg,2,0,H,0,0,D,9,8,7,0,15,20,4,4,1,2,0,0,1.17
D1,2012-01-28,Augsburg,Kaiserslautern,2,2,D,1,1,D,15,15,5,8,13,17,3,4,2,4,0,0,2.5
D1,2012-01-29,Stuttgart,M'gladbach,0,3,A,0,1,A,14,18,5,8,11,14,6,1,0,1,0,0,2.5
D1,2012-01-29,Mainz,Freiburg,3,1,H,3,0,H,18,5,10,1,18,19,4,3,2,2,0,1,1.67
D1,2012-02-09,Wolfsburg,Hannover,0,4,A,0,2,A,5,16,1,7,24,20,0,3,2,1,1,0,1.95
D1,2012-02-09,Bayern Munich,Stuttgart,6,1,H,3,1,H,16,7,13,4,13,8,5,3,1,1,0,1,1.25
D1,2012-02-11,Ein Frankfurt,Greuther Furth,1,1,D,1,0,H,7,12,4,8,15,26,3,7,2,2,0,0,1.6
D1,2012-02-12,Wolfsburg,Hamburg,1,1,D,0,1,A,22,9,5,3,13,17,10,5,1,3,0,0,1.91
D1,2012-02-12,Hoffenheim,Werder Bremen,1,4,A,0,2,A,9,12,3,6,18,14,3,5,3,1,0,0,2.6
