217,D2,2019-03-08,Bochum,Heidenheim,1,0,H,0,0,D,15,6,3,2,10,14,9,0,0,2,0,1,,0
218,D2,2019-03-09,Erzgebirge Aue,Paderborn,2,1,H,1,0,H,20,13,5,5,20,19,12,3,6,2,0,1,,0
219,D2,2019-03-09,Darmstadt,Holstein Kiel,3,2,H,2,1,H,12,14,5,7,7,19,7,10,0,5,0,1,,0
221,D2,2019-03-09,FC Koln,Bielefeld,5,1,H,2,0,H,17,7,9,1,14,11,7,1,0,0,0,0,,0
229,D2,2019-03-17,Paderborn,Ingolstadt,3,1,H,0,0,D,17,15,7,7,12,9,6,8,0,2,0,0,,0
230,D2,2019-03-17,Bielefeld,Bochum,3,1,H,0,0,D,13,8,7,3,23,11,4,5,1,0,0,1,,0
234,D2,2019-03-30,Bochum,Hamburg,0,0,D,0,0,D,12,15,3,4,12,11,5,5,1,0,0,0,,0
236,D2,2019-03-30,Union Berlin,Paderborn,1,3,A,0,1,A,18,12,7,8,11,18,5,3,1,2,0,0,,0
242,D2,2019-04-05,Regensburg,Bochum,2,1,H,0,0,D,21,13,5,5,18,15,3,6,3,2,0,0,,0
243,D2,2019-04-05,Bielefeld,Erzgebirge Aue,2,1,H,1,0,H,8,7,4,4,11,12,4,1,0,1,0,0,,0
244,D2,2019-04-06,Sandhausen,Paderborn,1,1,D,1,0,H,11,26,4,10,8,10,7,15,5,3,1,0,,0
245,D2,2019-04-06,Duisburg,Ingolstadt,2,4,A,0,1,A,22,16,6,9,13,18,8,5,3,2,0,0,,0
246,D2,2019-04-06,Holstein Kiel,St Pauli,2,1,H,0,1,A,12,18,4,6,13,10,3,6,2,2,1,0,,0
252,D2,2019-04-12,Erzgebirge Aue,Heidenheim,0,1,A,0,1,A,15,13,2,6,12,10,3,4,3,2,1,0,,0
253,D2,2019-04-12,Union Berlin,Regensburg,2,2,D,1,1,D,23,16,11,6,10,17,6,4,1,2,0,0,,0
254,D2,2019-04-13,Paderborn,Duisburg,4,0,H,2,0,H,14,14,6,9,8,3,7,2,1,0,0,0,,0
255,D2,2019-04-13,Sandhausen,Dresden,3,1,H,0,0,D,16,10,6,4,21,11,10,5,3,2,0,0,,0
256,D2,2019-04-13,Magdeburg,Darmstadt,0,1,A,0,0,D,16,9,5,2,13,14,6,2,3,2,0,0,,0
265,D2,2019-04-21,Darmstadt,Bochum,0,0,D,0,0,D,10,10,3,1,13,14,8,1,1,0,0,0,,0
266,D2,2019-04-21,Dresden,FC Koln,3,0,H,2,0,H,16,16,6,2,25,21,3,2,3,4,0,0,,0
268,D2,2019-04-21,Regensburg,Magdeburg,1,0,H,1,0,H,23,18,8,2,15,11,7,12,3,0,0,0,,0
